add	256	257	39776
add	256	257	41003
add	256	257	42255
add	256	257	43532
add	256	257	44834
rem	256	257	45340
add	256	257	50138
rem	256	257	51900
add	256	257	52737
rem	256	257	55986
add	256	257	56824
rem	256	257	60081
add	256	257	60928
rem	256	257	64193
add	256	257	65049
rem	256	257	68358
add	256	257	69223
rem	256	257	72537
add	256	257	73409
rem	256	257	76683
add	256	257	77520
rem	256	257	80805
add	256	257	81643
rem	256	257	84936
add	256	257	85783
rem	256	257	89084
add	256	257	89940
rem	256	257	93249
add	256	257	94114
rem	256	257	97428
add	256	257	98300
rem	256	257	101574
add	256	257	102411
rem	256	257	105731
add	256	257	106569
rem	256	257	109897
add	256	257	110744
rem	256	257	114080
add	256	257	114936
rem	256	257	118280
add	256	257	119145
rem	256	257	122494
add	256	257	123366
rem	256	257	126675
add	256	257	127512
rem	256	257	130832
add	256	257	131670
rem	256	257	134998
add	256	257	135845
rem	256	257	139181
add	256	257	140037
rem	256	257	143381
add	256	257	144246
rem	256	257	147595
add	256	257	148467
rem	256	257	151776
add	256	257	152613
rem	256	257	155933
add	256	257	156771
rem	256	257	160099
add	256	257	160946
rem	256	257	164282
add	256	257	165138
rem	256	257	168482
add	256	257	169347
rem	256	257	172696
add	256	257	173568
rem	256	257	176877
add	256	257	177714
rem	256	257	181034
add	256	257	181872
rem	256	257	185200
add	256	257	186047
rem	256	257	189383
add	256	257	190239
rem	256	257	193583
add	256	257	194448
rem	256	257	197797
add	256	257	198669
rem	256	257	201978
add	256	257	202815
rem	256	257	206135
add	256	257	206973
rem	256	257	210301
add	256	257	211148
rem	256	257	214484
add	256	257	215340
rem	256	257	218684
add	256	257	219549
rem	256	257	222898
add	256	257	223770
rem	256	257	227079
add	256	257	227916
rem	256	257	231236
add	256	257	232074
rem	256	257	235818
rem	256	257	239662
rem	256	257	243497
rem	256	257	247322
rem	256	257	251805
