add	0	1	40630
rem	0	1	41072
add	0	1	42627
add	0	1	43825
rem	0	1	45012
add	0	1	45825
add	0	1	47046
add	0	1	48292
rem	0	1	48769
add	0	1	50378
add	0	1	51647
rem	0	1	52898
add	0	1	53775
rem	0	1	56871
add	0	1	57735
rem	0	1	61003
add	0	1	61886
rem	0	1	65159
add	0	1	66051
rem	0	1	69303
add	0	1	70176
rem	0	1	73457
add	0	1	74356
rem	0	1	77610
add	0	1	78488
rem	0	1	81729
add	0	1	82593
rem	0	1	85861
add	0	1	86744
rem	0	1	90017
add	0	1	90909
rem	0	1	94161
add	0	1	95034
rem	0	1	98315
add	0	1	99214
rem	0	1	102468
add	0	1	103346
rem	0	1	106622
add	0	1	107486
rem	0	1	110789
add	0	1	111672
rem	0	1	114980
add	0	1	115872
rem	0	1	119159
add	0	1	120032
rem	0	1	123348
add	0	1	124247
rem	0	1	127536
add	0	1	128414
rem	0	1	131690
add	0	1	132554
rem	0	1	135857
add	0	1	136740
rem	0	1	140048
add	0	1	140940
rem	0	1	144227
add	0	1	145100
rem	0	1	148416
add	0	1	149315
rem	0	1	152604
add	0	1	153482
rem	0	1	156758
add	0	1	157622
rem	0	1	160925
add	0	1	161808
rem	0	1	165116
add	0	1	166008
rem	0	1	169295
add	0	1	170168
rem	0	1	173484
add	0	1	174383
rem	0	1	177672
add	0	1	178550
rem	0	1	181826
add	0	1	182690
rem	0	1	185993
add	0	1	186876
rem	0	1	190184
add	0	1	191076
rem	0	1	194363
add	0	1	195236
rem	0	1	198552
add	0	1	199451
rem	0	1	202740
add	0	1	203618
rem	0	1	206894
add	0	1	207758
rem	0	1	211061
add	0	1	211944
rem	0	1	215252
add	0	1	216144
rem	0	1	219431
add	0	1	220304
rem	0	1	223620
add	0	1	224519
rem	0	1	228081
rem	0	1	231926
rem	0	1	235780
rem	0	1	239622
rem	0	1	243424
