4631	0	150	128	773	2	0
12578	0	250	26	30	9	514
12584	256	250	26	30	3	514
12590	512	250	26	30	3	514
12596	513	250	26	30	7	514
12602	514	250	26	30	7	514
13299	0	250	26	30	9	257
13305	256	250	26	30	3	257
13311	257	250	26	30	7	257
14028	0	240	38	42	9	0
14523	0	240	38	42	9	805306368
14576	0	40	876	3420	2	514	0
14582	256	40	876	3416	3	514	0
14588	512	40	876	3412	3	514	0
14594	513	40	876	3408	7	514	0
14600	514	40	876	3404	7	514	0
17998	0	40	876	1635	2	257	1
18004	256	40	876	1631	3	257	1
18010	257	40	876	1627	7	257	1
20296	0	150	128	808	2	0
26745	0	250	26	30	9	769
26751	256	250	26	30	3	769
26757	512	250	26	30	3	769
26763	768	250	26	30	3	769
26769	769	250	26	30	7	769
27466	0	250	26	30	9	1
27472	1	250	26	30	7	1
28195	0	240	38	42	9	0
28690	0	240	38	42	9	805306368
28743	0	40	876	3890	2	769	256
28749	256	40	876	3886	3	769	256
28755	512	40	876	3882	3	769	256
28761	768	40	876	3878	3	769	256
28767	769	40	876	3874	7	769	256
32635	0	40	876	2385	2	1	257
32641	1	40	876	2381	7	1	257
40480	257	10	22	26	9	4260354	0	1
40486	513	10	22	26	3	4260354	0	1
40492	514	10	22	26	7	4260354	0	1
40827	1	10	22	26	9	66305	256	257
41356	514	20	42	46	9	8519937	0	1
41362	258	20	42	46	1	8519937	0	1
41368	257	20	42	170	5	8519937	0	1
44337	257	10	22	26	9	4260354	0	1
44343	513	10	22	26	3	4260354	0	1
44349	514	10	22	26	7	4260354	0	1
44383	1	10	22	26	9	66305	256	257
44389	0	10	22	26	5	66305	256	257
44395	256	10	22	26	2	66305	256	257
44401	512	10	22	26	2	66305	256	257
45296	514	20	42	46	9	8519937	0	1
45302	258	20	42	46	1	8519937	0	1
45308	257	20	42	170	5	8519937	0	1
45624	769	20	42	46	9	12648449	256	257
48277	257	10	22	26	9	4260354	0	1
48283	513	10	22	26	3	4260354	0	1
48289	514	10	22	26	7	4260354	0	1
48465	769	20	42	46	9	12648449	256	257
48471	768	20	42	46	5	12648449	256	257
48477	512	20	42	46	1	12648449	256	257
48483	256	20	42	46	1	12648449	256	257
49053	514	20	42	46	9	8519937	0	1
49059	258	20	42	46	1	8519937	0	1
49065	257	20	42	170	5	8519937	0	1
51433	1	10	22	26	9	66305	256	257
51439	0	10	22	26	5	66305	256	257
51445	256	10	22	26	2	66305	256	257
51451	512	10	22	26	2	66305	256	257
52034	257	10	22	26	9	4260354	0	1
52040	513	10	22	26	3	4260354	0	1
52046	514	10	22	26	7	4260354	0	1
52153	769	20	42	46	9	12648449	256	257
52159	768	20	42	46	5	12648449	256	257
52165	512	20	42	46	1	12648449	256	257
52171	256	20	42	46	1	12648449	256	257
53182	514	20	42	46	9	8519937	0	1
53188	258	20	42	46	1	8519937	0	1
53194	257	20	42	171	5	8519937	0	1
55121	1	10	22	26	9	66305	256	257
55127	0	10	22	26	5	66305	256	257
55133	256	10	22	26	2	66305	256	257
55139	512	10	22	26	2	66305	256	257
56164	257	10	22	26	9	4260354	0	1
56170	513	10	22	26	3	4260354	0	1
56176	514	10	22	26	7	4260354	0	1
56239	769	20	42	46	9	12648449	256	257
56245	768	20	42	46	5	12648449	256	257
56251	512	20	42	46	1	12648449	256	257
56257	256	20	42	46	1	12648449	256	257
57155	514	20	42	46	9	8519937	0	1
57161	258	20	42	46	1	8519937	0	1
57167	257	20	42	171	5	8519937	0	1
59207	1	10	22	26	9	66305	256	257
59213	0	10	22	26	5	66305	256	257
59219	256	10	22	26	2	66305	256	257
59225	512	10	22	26	2	66305	256	257
60137	257	10	22	26	9	4260354	0	1
60143	513	10	22	26	3	4260354	0	1
60149	514	10	22	26	7	4260354	0	1
60334	769	20	42	46	9	12648449	256	257
60340	768	20	42	46	5	12648449	256	257
60346	512	20	42	46	1	12648449	256	257
60352	256	20	42	46	1	12648449	256	257
61287	514	20	42	46	9	8519937	0	1
61293	258	20	42	46	1	8519937	0	1
61299	257	20	42	172	5	8519937	0	1
63304	1	10	22	26	9	66305	256	257
63310	0	10	22	26	5	66305	256	257
63316	256	10	22	26	2	66305	256	257
63322	512	10	22	26	2	66305	256	257
64270	257	10	22	26	9	4260354	0	1
64276	513	10	22	26	3	4260354	0	1
64282	514	10	22	26	7	4260354	0	1
64446	769	20	42	46	9	12648449	256	257
64452	768	20	42	46	5	12648449	256	257
64458	512	20	42	46	1	12648449	256	257
64464	256	20	42	46	1	12648449	256	257
65443	514	20	42	46	9	8519937	0	1
65449	258	20	42	46	1	8519937	0	1
65455	257	20	42	170	5	8519937	0	1
67414	1	10	22	26	9	66305	256	257
67420	0	10	22	26	5	66305	256	257
67426	256	10	22	26	2	66305	256	257
67432	512	10	22	26	2	66305	256	257
68424	257	10	22	26	9	4260354	0	1
68430	513	10	22	26	3	4260354	0	1
68436	514	10	22	26	7	4260354	0	1
68611	769	20	42	46	9	12648449	256	257
68617	768	20	42	46	5	12648449	256	257
68623	512	20	42	46	1	12648449	256	257
68629	256	20	42	46	1	12648449	256	257
69587	514	20	42	46	9	8519937	0	1
69593	258	20	42	46	1	8519937	0	1
69599	257	20	42	170	5	8519937	0	1
71580	1	10	22	26	9	66305	256	257
71586	0	10	22	26	5	66305	256	257
71592	256	10	22	26	2	66305	256	257
71598	512	10	22	26	2	66305	256	257
72568	257	10	22	26	9	4260354	0	1
72574	513	10	22	26	3	4260354	0	1
72580	514	10	22	26	7	4260354	0	1
72790	769	20	42	46	9	12648449	256	257
72796	768	20	42	46	5	12648449	256	257
72802	512	20	42	46	1	12648449	256	257
72808	256	20	42	46	1	12648449	256	257
73741	514	20	42	46	9	8519937	0	1
73747	258	20	42	46	1	8519937	0	1
73753	257	20	42	170	5	8519937	0	1
75759	1	10	22	26	9	66305	256	257
75765	0	10	22	26	5	66305	256	257
75771	256	10	22	26	2	66305	256	257
75777	512	10	22	26	2	66305	256	257
76722	257	10	22	26	9	4260354	0	1
76728	513	10	22	26	3	4260354	0	1
76734	514	10	22	26	7	4260354	0	1
76936	769	20	42	46	9	12648449	256	257
76942	768	20	42	46	5	12648449	256	257
76948	512	20	42	46	1	12648449	256	257
76954	256	20	42	46	1	12648449	256	257
77894	514	20	42	46	9	8519937	0	1
