0,0,0,0
256,0,0,0
512,0,0,0
768,0,0,0
1,0,0,0
257,0,0,0
513,0,0,0
769,0,0,0
2,0,0,0
258,0,0,0
514,106399072,106399072,0
770,0,0,0
3,0,0,0
259,0,0,0
515,0,0,0
771,0,0,0
0,81614,81614,100000
256,30086,30086,100000
512,30087,30087,100000
768,30081,30081,100000
1,52148,52148,100000
257,55124,55124,100000
513,31217,31217,100000
769,57853,57853,100000
2,30083,30083,100000
258,31209,31209,100000
514,58598,58598,100000
770,30084,30084,100000
3,30079,30079,100000
259,30085,30085,100000
515,30086,30086,100000
771,30329,30329,100000
0,164652,83038,200000
256,80509,50423,200000
512,80510,50423,200000
768,80504,50423,200000
1,123383,71235,200000
257,126657,71533,200000
513,81641,50424,200000
769,132410,74557,200000
2,80506,50423,200000
258,81633,50424,200000
514,133118,74520,200000
770,80507,50423,200000
3,80502,50423,200000
259,80508,50423,200000
515,80509,50423,200000
771,80752,50423,200000
