0,0,0,0
256,140737134063192,140737134063192,0
512,0,0,0
768,0,0,0
1024,0,0,0
1,0,0,0
257,0,0,0
513,140737134881816,140737134881816,0
769,0,0,0
1025,0,0,0
2,0,0,0
258,0,0,0
514,0,0,0
770,0,0,0
1026,0,0,0
3,140737116069352,140737116069352,0
259,140737123223592,140737123223592,0
515,0,0,0
771,0,0,0
1027,0,0,0
0,28356,28356,100000
256,32650,32650,100000
512,34917,34917,100000
768,37297,37297,100000
1024,32684,32684,100000
1,28433,28433,100000
257,32685,32685,100000
513,32685,32685,100000
769,32685,32685,100000
1025,32593,32593,100000
2,28433,28433,100000
258,29960,29960,100000
514,29929,29929,100000
770,29953,29953,100000
1026,29684,29684,100000
3,81320,81320,100000
259,28433,28433,100000
515,28433,28433,100000
771,28433,28433,100000
1027,28570,28570,100000
0,79065,50709,200000
256,97567,64917,200000
512,88436,53519,200000
768,90203,52906,200000
1024,85591,52907,200000
1,79142,50709,200000
257,85623,52938,200000
513,85086,52401,200000
769,85713,53028,200000
1025,86149,53556,200000
2,79142,50709,200000
258,85682,55722,200000
514,85610,55681,200000
770,85782,55829,200000
1026,85656,55972,200000
3,163417,82097,200000
259,79140,50707,200000
515,79140,50707,200000
771,79140,50707,200000
1027,79276,50706,200000
0,129487,50422,300000
256,171186,73619,300000
512,138858,50422,300000
768,146602,56399,300000
1024,142089,56498,300000
1,129564,50422,300000
257,142202,56579,300000
513,135508,50422,300000
769,136516,50803,300000
1025,141954,55805,300000
2,129564,50422,300000
258,142377,56695,300000
514,142251,56641,300000
770,142300,56518,300000
1026,142292,56636,300000
3,245480,82063,300000
259,129563,50423,300000
515,129563,50423,300000
771,129563,50423,300000
1027,129700,50424,300000
0,179911,50424,400000
256,244960,73774,400000
512,189282,50424,400000
768,203989,57387,400000
1024,199125,57036,400000
1,179988,50424,400000
257,199315,57113,400000
513,185932,50424,400000
769,186938,50422,400000
1025,199365,57411,400000
2,179988,50424,400000
258,199472,57095,400000
514,199580,57329,400000
770,199885,57585,400000
1026,199748,57456,400000
3,327532,82052,400000
259,179986,50423,400000
515,179986,50423,400000
771,179986,50423,400000
1027,180122,50422,400000
0,230441,50530,500000
256,316313,71353,500000
512,243968,54686,500000
768,260122,56133,500000
1024,255219,56094,500000
1,230518,50530,500000
257,255501,56186,500000
513,240688,54756,500000
769,241694,54756,500000
1025,258823,59458,500000
2,230518,50530,500000
258,255659,56187,500000
514,255869,56289,500000
770,256167,56282,500000
1026,256033,56285,500000
3,409655,82123,500000
259,230516,50530,500000
515,230516,50530,500000
771,230516,50530,500000
1027,230652,50530,500000
